price,amount
0.00003350,4.68
0.00003539,98.31
0.00003639,63.35
0.00003739,23.08
0.00003839,74.36
0.00003939,49.79
0.00004040,98.47
0.00004140,31.49
0.00004240,53.56
0.00004340,86.09
0.00004440,48.13
0.00005109,2.49
0.00005111,2.46
0.00005115,2.11
0.00005117,8.07
0.00005118,11.74
0.00005120,12.86
0.00005121,6.02
0.00005122,11.92
0.00005123,9.24
0.00005125,5.94
0.00005126,1.03
0.00005127,2.07
0.00005128,1.08
0.00005130,1.01
0.00005131,2.04
0.00005132,1.07
0.00005135,5.86
0.00005136,204.95
0.00005137,1.08
0.00005139,2.04
0.00005142,101.04
0.00005143,19.57
0.00005145,93.13
0.00005146,110.55
0.00005148,91.1
0.00005149,191.05
0.00005152,100.01
0.00005156,5.92
0.00005158,58.16
0.00005160,18.78
0.00005161,9.28
0.00005163,24.68
0.00005164,6.88
0.00005165,446.87
0.00005166,3.39
0.00005170,183.72
0.00005174,370.0
0.00005183,1064.73
0.00005184,720.53
0.00005185,1.08
0.00005189,628.65
0.00005190,201.16
0.00005191,257.97
0.00005192,100.04
0.00005193,101.13
0.00005194,1.08
0.00005195,100.09
0.00005196,201.06
0.00005197,200.09
0.00005198,201.19
0.00005199,1541.17
0.00005200,300.13
0.00005201,834.24
0.00005202,1000.58
0.00005204,442.15
0.00005205,100.02
0.00005206,208.69
0.00005207,160.14
0.00005208,419.57
0.00005209,100.0
0.00005210,923.4
0.00005212,1.01
0.00005213,160.08
0.00005214,101.03
0.00005215,3196.44
0.00005217,101.08
0.00005218,200.1
0.00005219,833.62
0.00005220,300.09
0.00005221,2.12
0.00005222,1.05
0.00005223,100.02
0.00005225,100.03
0.00005228,817.9
0.00005229,131.98
0.00005230,13.84
0.00005232,100.02
0.00005233,100.07
0.00005234,101.05
0.00005235,200.1
0.00005237,213.97
0.00005238,102.21
0.00005239,100.0
0.00005241,100.05
0.00005242,100.05
0.00005243,1.03
0.00005244,679.22
0.00005245,100.08
0.00005247,300.04
0.00005248,100.04
0.00005249,158.01
0.00005250,100.06
0.00005251,205.04
0.00005252,228.92
0.00005253,221.38
0.00005254,85.31
0.00005255,77.07
0.00005256,404.59
0.00005258,248.64
0.00005261,100.0
0.00005263,9.0
0.00005264,100.07
0.00005265,200.06
0.00005267,109.03
0.00005268,109.12
0.00005269,679.73
0.00005277,15.22
0.00005279,100.08
0.00005283,16.25
0.00005285,115.23
0.00005286,116.23
0.00005287,1.08
0.00005289,101.12
0.00005290,200.03
0.00005291,100.01
0.00005292,100.02
0.00005293,100.03
0.00005294,300.14
0.00005296,200.1
0.00005301,483.36
0.00005318,34.67
0.00005321,34.65
0.00005322,69.3
0.00005327,3.7
0.00005328,3.7
0.00005329,3.77
0.00005330,7.5
0.00005332,3.71
0.00005333,3.75
0.00005335,4.84
0.00005337,1.07
0.00005339,1.0
0.00005341,100.09
0.00005343,200.12
0.00005344,200.01
0.00005346,100.07
0.00005347,100.02
0.00005349,100.09
0.00005356,70.45
